Group name,Headquarters,Publicly listed companies
Adamjee Group,Karachi,–
Atlas Group,Lahore,"Atlas Honda, Honda Atlas, Atlas Battery, Atlas Insurance"
AKD Group,Karachi,"AKD Hospitality, AKD Securities"
Arif Habib Group,Karachi,"Arif Habib Limited, Aisha Steel Mills, Fatima Fertilizer Company, Javedan, Power Cement, Safe Mix Concrete"
Askari Group,Rawalpindi,"Askari General Insurance, Askari Life Assurance"
Bibojee Group,Karachi,"Bannu Woollen Mills, Gammon Pakistan, Ghandhara Automobiles Limited, Ghandhara Industries Limited, Ghandhara Tyre, Janana De Malucho Textile Mills, The Universal Insurance Company"
Dawood Group,Karachi,"Engro Holdings, Dawood Lawrencepur"
Descon,Lahore,"Altern Energy, Descon Oxychem"
Fauji Group,Rawalpindi,"Askari Bank, Fauji Cement, Fauji Fertilizer, Fauji Foods, Mari Petroleum"
Hashoo Group,Karachi,"Pakistan Services Limited, Exide Batteries Pakistan"
Habib Group,Karachi,"Agriauto Industries, HabibMetro, Habib Insurance, Habib Rice, Habib Sugar Mills, Shabbir Tiles, Toyota Indus, Thal Limited"
Lakson Group,Karachi,"Century Insurance, Century Paper, Colgate-Palmolive Pakistan, Merit Packaging"
Lucky Group,Karachi,"Gadoon Textile Mills, Lucky Cement, Lucky Core Industries"
JS Group,Karachi,"BankIslami, JS Bank, Jahangir Siddiqui & Co."
Nishat Group,Lahore,"Adamjee Insurance, Adamjee Life Assurance, DG Cement, Lalpir Power, MCB Bank, MCB Funds, Nishat Mills Limited, Nishat Chunian Power, Nishat Power Limited, Pakgen Power"
Packages Group,Lahore,Packages Limited
Saigol Group,Lahore,"Maple Leaf Cement, Pak Elektron Limited, Kohinoor Energy Limited, Kohinoor Industries Limited, Kohinoor Mills Limited, Kohinoor Power Company Limited, Kohinoor Textile Mills Limited, Saritow Spinning Mills Limited"
