Rank,Name,Market cap (US$),Headquarters,Industry
1,Oil & Gas Development Company,Rs. 1.44 trillion (US$5.2 billion),Islamabad,Petroleum
2,Mari Petroleum,Rs. 788.77 billion (US$2.8 billion),Islamabad,Petroleum
3,Pakistan Petroleum Limited,Rs. 662.62 billion (US$2.4 billion),Karachi,Petroleum
4,United Bank Limited,Rs. 1.10 trillion (US$3.9 billion),Karachi,Banking
5,Fauji Fertilizer Company,Rs. 806.75 billion (US$2.9 billion),Rawalpindi,Fertilizer
6,Meezan Bank,Rs. 930.89 billion (US$3.3 billion),Karachi,Banking
7,Colgate-Palmolive Pakistan,Rs. 299.34 billion (US$1.1 billion),Karachi,Fast-moving consumer goods
8,Pakistan Tobacco Company,Rs. 361.55 billion (US$1.3 billion),Islamabad,Tobacco
9,Nestlé Pakistan,Rs. 352.99 billion (US$1.3 billion),Lahore,Fast-moving consumer goods
10,MCB Bank,Rs. 476.39 billion (US$1.7 billion),Lahore,Banking
11,Lucky Cement,Rs. 322.44 billion (US$1.2 billion),Karachi,Cement
12,Engro Fertilizers,Rs. 272.65 billion (US$980 million),Karachi,Fertilizer
13,Habib Bank Limited,Rs. 255.91 billion (US$920 million),Karachi,Banking
14,Engro Corporation,Rs. 238.95 billion (US$850 million),Karachi,Conglomerate
15,Bestway Cement,Rs. 213.89 billion (US$770 million),Islamabad,Cement
16,Pakistan State Oil,Rs. 206.89 billion (US$740 million),Karachi,Petroleum
17,Standard Chartered Pakistan,Rs. 205.19 billion (US$730 million),Karachi,Banking
18,Systems Limited,Rs. 181.10 billion (US$650 million),Lahore,Information technology
19,Pakistan Oilfields Limited,Rs. 179.29 billion (US$640 million),Rawalpindi,Petroleum
20,Hub Power Company,Rs. 169.78 billion (US$610 million),Karachi,Power generation
